ID,Name,Dark_Skin
0,009802.jpg,1
1,008397.jpg,1
2,002361.jpg,0
3,006897.jpg,0
4,000798.jpg,1
5,009191.jpg,1
6,007800.jpg,1
7,003014.jpg,1
8,007009.jpg,0
9,000722.jpg,0
10,003584.jpg,1
11,006124.jpg,0
12,002453.jpg,1
13,002736.jpg,1
14,004967.jpg,1
15,004469.jpg,0
16,001589.jpg,0
17,007070.jpg,0
18,005513.jpg,0
19,006293.jpg,0
20,009909.jpg,0
21,002297.jpg,0
22,002886.jpg,0
23,000270.jpg,0
24,004362.jpg,1
25,000561.jpg,1
26,004123.jpg,1
27,006280.jpg,0
28,001362.jpg,0
29,002801.jpg,1
30,006585.jpg,1
31,009070.jpg,1
32,009664.jpg,1
33,001298.jpg,1
34,003351.jpg,0
35,000528.jpg,1
36,001015.jpg,0
37,007165.jpg,1
38,002285.jpg,1
39,000326.jpg,1
40,000806.jpg,0
41,009947.jpg,1
42,009208.jpg,1
43,001958.jpg,0
44,006612.jpg,0
45,006391.jpg,0
46,007566.jpg,0
47,007735.jpg,0
48,000344.jpg,1
49,005479.jpg,0
50,007975.jpg,1
51,006080.jpg,0
52,002625.jpg,1
53,005042.jpg,0
54,005641.jpg,0
55,003831.jpg,1
56,005139.jpg,1
57,006371.jpg,1
58,002828.jpg,1
59,003276.jpg,0
60,007705.jpg,1
61,006004.jpg,0
62,008386.jpg,1
63,005369.jpg,0
64,008267.jpg,0
65,005493.jpg,0
66,002625.jpg,1
67,000056.jpg,0
68,002448.jpg,0
69,003686.jpg,0
70,002023.jpg,1
71,006076.jpg,0
72,003951.jpg,0
73,004657.jpg,0
74,004553.jpg,0
75,009059.jpg,1
76,007456.jpg,1
77,006845.jpg,1
78,002191.jpg,1
79,001981.jpg,1
80,000519.jpg,0
81,009540.jpg,1
82,006169.jpg,0
83,008216.jpg,0
84,007228.jpg,1
85,005984.jpg,0
86,007209.jpg,1
87,004671.jpg,0
88,009495.jpg,1
89,008581.jpg,1
90,006152.jpg,0
91,006877.jpg,1
92,001216.jpg,0
93,008780.jpg,1
94,009929.jpg,0
95,000528.jpg,1
96,003807.jpg,1
97,003299.jpg,1
98,007225.jpg,0
99,007075.jpg,0
100,006717.jpg,1
101,001059.jpg,0
102,002726.jpg,0
103,000197.jpg,0
104,001113.jpg,0
105,006671.jpg,1
106,005916.jpg,0
107,007465.jpg,0
108,003014.jpg,1
109,004155.jpg,0
110,006371.jpg,1
111,006557.jpg,0
112,005414.jpg,0
113,006198.jpg,1
114,002904.jpg,1
115,005232.jpg,0
116,002594.jpg,0
117,005228.jpg,1
118,000157.jpg,1
119,007522.jpg,1
120,004734.jpg,0
121,006621.jpg,1
122,002908.jpg,0
123,006917.jpg,0
124,004164.jpg,0
125,007506.jpg,1
126,005806.jpg,0
127,000251.jpg,1
128,000330.jpg,1
129,005139.jpg,1
130,009854.jpg,0
131,005899.jpg,0
132,000235.jpg,0
133,005632.jpg,1
134,002766.jpg,1
135,000989.jpg,0
136,000043.jpg,0
137,003761.jpg,0
138,008581.jpg,1
139,004119.jpg,1
140,005433.jpg,0
141,008581.jpg,1
142,006274.jpg,1
143,008075.jpg,1
144,003580.jpg,0
145,009894.jpg,0
146,005560.jpg,1
147,003693.jpg,1
148,008567.jpg,1
149,008045.jpg,1
150,009802.jpg,1
151,007722.jpg,0
152,008489.jpg,1
153,007990.jpg,1
154,006845.jpg,1
155,008294.jpg,0
156,004068.jpg,0
157,009515.jpg,0
158,008911.jpg,0
159,005771.jpg,0
160,006268.jpg,0
161,003972.jpg,0
162,001918.jpg,0
163,007618.jpg,0
164,008254.jpg,1
165,003803.jpg,1
166,001954.jpg,1
167,003014.jpg,1
168,007250.jpg,1
169,002897.jpg,0
170,001821.jpg,1
171,006536.jpg,1
172,004037.jpg,1
173,002870.jpg,1
174,001987.jpg,0
175,001844.jpg,1
176,005519.jpg,1
177,008581.jpg,1
178,007519.jpg,0
179,006755.jpg,0
180,001282.jpg,0
181,007022.jpg,0
182,004941.jpg,1
183,003711.jpg,0
184,001305.jpg,0
185,006104.jpg,0
186,009814.jpg,0
187,005671.jpg,0
188,004960.jpg,0
189,008226.jpg,1
190,001730.jpg,0
191,006930.jpg,0
192,004602.jpg,1
193,003533.jpg,0
194,003862.jpg,1
195,009010.jpg,0
196,009406.jpg,0
197,009208.jpg,1
198,002392.jpg,1
199,004585.jpg,1
200,007634.jpg,0
201,001078.jpg,1
202,003576.jpg,0
203,002277.jpg,0
204,007274.jpg,1
205,001226.jpg,0
206,004103.jpg,1
207,007333.jpg,0
208,006496.jpg,1
209,006170.jpg,0
210,009964.jpg,0
211,007253.jpg,0
212,000412.jpg,1
213,005463.jpg,0
214,001458.jpg,1
215,000721.jpg,1
216,003493.jpg,1
217,005323.jpg,0
218,005971.jpg,0
219,008747.jpg,0
220,006332.jpg,1
221,001007.jpg,0
222,007727.jpg,1
223,001509.jpg,0
224,009987.jpg,1
225,009411.jpg,1
226,004808.jpg,0
227,007965.jpg,1
228,006073.jpg,0
229,009668.jpg,1
230,002801.jpg,1
231,006666.jpg,1
232,009509.jpg,1
233,006884.jpg,0
234,004644.jpg,0
235,001166.jpg,1
236,003714.jpg,1
237,006693.jpg,0
238,000992.jpg,0
239,001075.jpg,1
240,004199.jpg,1
241,002327.jpg,1
242,005240.jpg,0
243,004205.jpg,1
244,002952.jpg,1
245,004584.jpg,1
246,000983.jpg,0
247,007751.jpg,1
248,005772.jpg,1
249,004625.jpg,1
250,006267.jpg,1
251,007506.jpg,1
252,003158.jpg,0
253,008107.jpg,1
254,001258.jpg,0
255,005420.jpg,0
256,007099.jpg,0
257,009413.jpg,1
258,007280.jpg,1
259,005057.jpg,0
260,004625.jpg,1
261,003748.jpg,0
262,002646.jpg,1
263,001962.jpg,0
264,002339.jpg,1
265,003088.jpg,0
266,008536.jpg,1
267,008765.jpg,1
268,005398.jpg,0
269,007587.jpg,0
270,008380.jpg,0
271,004067.jpg,1
272,007584.jpg,0
273,006894.jpg,1
274,008494.jpg,0
275,008527.jpg,1
276,003456.jpg,0
277,002718.jpg,1
278,004446.jpg,1
279,002045.jpg,1
280,007296.jpg,0
281,008386.jpg,1
282,003923.jpg,1
283,006964.jpg,1
284,000843.jpg,0
285,001344.jpg,0
286,009250.jpg,1
287,008070.jpg,1
288,000292.jpg,1
289,009256.jpg,0
290,006522.jpg,0
291,007847.jpg,0
292,002222.jpg,0
293,006501.jpg,1
294,002114.jpg,1
295,001576.jpg,0
296,001842.jpg,1
297,008432.jpg,0
298,000380.jpg,1
299,002224.jpg,1
300,007477.jpg,0
301,002109.jpg,0
302,001691.jpg,1
303,001905.jpg,0
304,007975.jpg,1
305,001532.jpg,1
306,002051.jpg,0
307,007312.jpg,1
308,001545.jpg,1
309,003358.jpg,1
310,004965.jpg,0
311,000842.jpg,0
312,004368.jpg,1
313,009509.jpg,1
314,002386.jpg,1
315,002679.jpg,0
316,001453.jpg,0
317,006079.jpg,1
318,009158.jpg,0
319,006964.jpg,1
320,002285.jpg,1
321,009206.jpg,1
322,007848.jpg,1
323,006651.jpg,0
324,007876.jpg,1
325,002669.jpg,0
326,003672.jpg,0
327,007479.jpg,0
328,007872.jpg,1
329,002646.jpg,1
330,008557.jpg,1
331,006549.jpg,1
332,000221.jpg,1
333,003495.jpg,0
334,003356.jpg,1
335,005403.jpg,0
336,009397.jpg,0
337,003337.jpg,1
338,009940.jpg,0
339,000157.jpg,1
340,004963.jpg,0
341,003807.jpg,1
342,009838.jpg,1
343,004123.jpg,1
344,005196.jpg,0
345,002668.jpg,1
346,009527.jpg,0
347,003253.jpg,0
348,005897.jpg,0
349,006664.jpg,1
350,006448.jpg,0
351,006750.jpg,1
352,008236.jpg,0
353,006351.jpg,1
354,005876.jpg,1
355,008332.jpg,1
356,007552.jpg,0
357,003569.jpg,0
358,005097.jpg,0
359,001859.jpg,0
360,001742.jpg,1
361,005224.jpg,1
362,003927.jpg,0
363,002637.jpg,1
364,003193.jpg,1
365,001444.jpg,0
366,002371.jpg,0
367,008797.jpg,1
368,006089.jpg,1
369,006843.jpg,0
370,005794.jpg,0
371,006420.jpg,1
372,009737.jpg,0
373,008033.jpg,0
374,001477.jpg,1
375,009820.jpg,0
376,006260.jpg,1
377,000363.jpg,1
378,002527.jpg,0
379,006663.jpg,1
380,007408.jpg,0
381,007751.jpg,1
382,001982.jpg,1
383,007322.jpg,1
384,008931.jpg,1
385,000734.jpg,0
386,001313.jpg,1
387,007824.jpg,0
388,002007.jpg,1
389,000329.jpg,0
390,000447.jpg,0
391,004037.jpg,1
392,004527.jpg,0
393,003825.jpg,0
394,000674.jpg,0
395,002120.jpg,1
396,008581.jpg,1
397,009997.jpg,0
398,002590.jpg,0
399,001827.jpg,1
400,008609.jpg,0
401,005683.jpg,0
402,008686.jpg,0
403,003584.jpg,1
404,002881.jpg,0
405,000505.jpg,1
406,001017.jpg,0
407,008312.jpg,0
408,005259.jpg,1
409,004235.jpg,1
410,004334.jpg,0
411,006764.jpg,1
412,001691.jpg,1
413,006883.jpg,1
414,001108.jpg,0
415,002642.jpg,0
416,009800.jpg,1
417,000233.jpg,0
418,000706.jpg,0
419,003606.jpg,1
420,009370.jpg,0
421,002857.jpg,0
422,004652.jpg,1
423,000438.jpg,0
424,008435.jpg,0
425,005319.jpg,0
426,006621.jpg,1
427,001369.jpg,0
428,003762.jpg,0
429,002793.jpg,0
430,003606.jpg,1
431,003649.jpg,0
432,009461.jpg,1
433,004866.jpg,0
434,002446.jpg,1
435,004759.jpg,0
436,008591.jpg,0
437,009884.jpg,1
438,006717.jpg,1
439,007817.jpg,1
440,007506.jpg,1
441,004240.jpg,0
442,006350.jpg,1
443,005894.jpg,1
444,008428.jpg,0
445,001149.jpg,0
446,002038.jpg,0
447,005790.jpg,1
448,009996.jpg,0
449,002932.jpg,1
450,006985.jpg,1
451,006894.jpg,1
452,009908.jpg,1
453,000044.jpg,1
454,004723.jpg,0
455,001774.jpg,0
456,001757.jpg,0
457,001581.jpg,1
458,009477.jpg,1
459,000386.jpg,0
460,009534.jpg,1
461,006780.jpg,0
462,005876.jpg,1
463,002392.jpg,1
464,004282.jpg,0
465,004338.jpg,1
466,006879.jpg,1
467,003693.jpg,1
468,005297.jpg,0
469,001610.jpg,0
470,002158.jpg,0
471,007493.jpg,1
472,001083.jpg,0
473,002295.jpg,0
474,009272.jpg,1
475,008574.jpg,0
476,008168.jpg,1
477,000515.jpg,1
478,004741.jpg,1
479,000548.jpg,1
480,008279.jpg,1
481,005214.jpg,1
482,006648.jpg,1
483,001920.jpg,0
484,002466.jpg,1
485,006525.jpg,1
486,003524.jpg,0
487,008531.jpg,1
488,000609.jpg,0
489,001257.jpg,1
490,005224.jpg,1
491,005099.jpg,0
492,008228.jpg,0
493,000839.jpg,0
494,009209.jpg,1
495,006677.jpg,0
496,007013.jpg,0
497,008970.jpg,0
498,007322.jpg,1
499,004408.jpg,0
500,009272.jpg,1
501,003487.jpg,0
502,006079.jpg,1
503,007285.jpg,0
504,003470.jpg,0
505,005409.jpg,1
506,004275.jpg,0
507,003033.jpg,1
508,008168.jpg,1
509,001298.jpg,1
510,002780.jpg,1
511,003175.jpg,1
512,007037.jpg,0
513,002102.jpg,1
514,001078.jpg,1
515,005564.jpg,1
516,008601.jpg,0
517,003476.jpg,0
518,003103.jpg,1
519,004993.jpg,1
520,008503.jpg,1
521,001219.jpg,1
522,001553.jpg,1
523,007892.jpg,0
524,002709.jpg,0
525,000360.jpg,1
526,003018.jpg,1
527,003923.jpg,1
528,001703.jpg,1
529,007872.jpg,1
530,003715.jpg,1
531,009288.jpg,1
532,003389.jpg,0
533,001885.jpg,0
534,006663.jpg,1
535,008070.jpg,1
536,005560.jpg,1
537,005079.jpg,1
538,002736.jpg,1
539,008401.jpg,1
540,007283.jpg,0
541,006859.jpg,0
542,001826.jpg,0
543,006269.jpg,1
544,002465.jpg,1
545,000294.jpg,1
546,008202.jpg,0
547,009495.jpg,1
548,006894.jpg,1
549,008190.jpg,0
550,003127.jpg,1
551,007493.jpg,1
552,009117.jpg,1
553,006893.jpg,0
554,008336.jpg,1
555,004370.jpg,0
556,003626.jpg,0
557,005722.jpg,0
558,007322.jpg,1
559,009474.jpg,0
560,002466.jpg,1
561,002576.jpg,0
562,007863.jpg,1
563,002084.jpg,0
564,006648.jpg,1
565,005104.jpg,0
566,002321.jpg,0
567,007923.jpg,0
568,007492.jpg,1
569,003639.jpg,1
570,003624.jpg,0
571,009488.jpg,0
572,000763.jpg,0
573,002682.jpg,0
574,006602.jpg,1
575,007397.jpg,0
576,001027.jpg,1
577,005894.jpg,1
578,001094.jpg,1
579,009513.jpg,1
580,005975.jpg,1
581,007881.jpg,1
582,008931.jpg,1
583,003617.jpg,0
584,002007.jpg,1
585,006576.jpg,0
586,006691.jpg,1
587,002593.jpg,1
588,008774.jpg,1
589,002274.jpg,0
590,000911.jpg,0
591,000758.jpg,0
592,007800.jpg,1
593,006103.jpg,0
594,008619.jpg,1
595,002134.jpg,1
596,009175.jpg,0
597,002538.jpg,1
598,007522.jpg,1
599,006524.jpg,0
600,003009.jpg,0
601,000250.jpg,0
602,009313.jpg,1
603,006691.jpg,1
604,000037.jpg,1
605,000310.jpg,1
606,000375.jpg,0
607,009338.jpg,1
608,003349.jpg,1
609,003200.jpg,0
610,005036.jpg,0
611,000070.jpg,0
612,002519.jpg,0
613,006344.jpg,0
614,009120.jpg,0
615,000711.jpg,0
616,001657.jpg,0
617,000967.jpg,0
618,000668.jpg,1
619,009206.jpg,1
620,004181.jpg,0
621,007085.jpg,0
622,005224.jpg,1
623,004341.jpg,0
624,005970.jpg,0
625,007353.jpg,1
626,007801.jpg,0
627,009776.jpg,0
628,000380.jpg,1
629,004430.jpg,0
630,002188.jpg,1
631,007100.jpg,1
632,006666.jpg,1
633,007681.jpg,0
634,001597.jpg,1
635,002139.jpg,0
636,005737.jpg,1
637,007507.jpg,0
638,002888.jpg,1
639,008481.jpg,0
640,005915.jpg,0
641,006648.jpg,1
642,007751.jpg,1
643,007059.jpg,0
644,007963.jpg,0
645,004257.jpg,0
646,003245.jpg,0
647,005032.jpg,0
648,006572.jpg,0
649,003007.jpg,1
